,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
12903,9708,850421,1,Miscellaneous,Gear,2012,Silicone Coasters,,,True,850421-1
12904,9677,850423,1,Miscellaneous,Miscellaneous,2012,Minifigure Presentation Boxes,1.0,89.0,True,850423-1
12905,10123,850424,1,Miscellaneous,Gear,2012,LEGO mug,,,True,850424-1
12906,9815,850425,1,Miscellaneous,Miscellaneous,2012,Desk Business Card Holder,2.0,150.0,True,850425-1
12907,9821,850426,1,Miscellaneous,Miscellaneous,2012,Pencil Holder,1.0,157.0,True,850426-1
12908,9711,850432,1,Miscellaneous,Gear,2012,Classic Magnet Set Collection,,,True,850432-1
12909,10037,850437,1,Miscellaneous,Gear,2012,Friends school starter pack,,,True,850437-1
12910,9713,850442,1,Miscellaneous,Gear,2012,Lloyd ZX Key Chain,,,True,850442-1
12911,9709,850443,1,Miscellaneous,Gear,2012,Snake Key Chain,,,True,850443-1
12912,9679,850445,1,Action/Adventure,Ninjago,2012,Ninjago Character Card Shrine,1.0,88.0,True,850445-1
12913,9712,850446,1,Miscellaneous,Gear,2012,Darth Maul,,,True,850446-1
12914,9710,850447,1,Miscellaneous,Gear,2012,Snowtrooper,,,True,850447-1
12915,9714,850448,1,Miscellaneous,Gear,2012,Luke Skywalker,,,True,850448-1
12916,9678,850449,1,Miscellaneous,Collectable Minifigures,2012,Minifigure Accessory Pack,3.0,63.0,True,850449-1
12917,9828,850451,1,Miscellaneous,Gear,2012,Lord Vampyre Key Chain,,,True,850451-1
12918,9829,850452,1,Miscellaneous,Gear,2012,Ghost Key Chain,,,True,850452-1
12919,9830,850453,1,Miscellaneous,Gear,2012,The Monster Key Chain,,,True,850453-1
12920,9596,850455,1,Miscellaneous,Gear,2012,Ninjago Sheath with Snake Sword ,,,True,850455-1
12921,9446,850456,1,Miscellaneous,Gear,2012,"I Love LEGOLAND keychain, Male",,,True,850456-1
12922,9445,850457,1,Miscellaneous,Gear,2012,LEGOLAND Magnet,1.0,,True,850457-1
12923,9681,850458,1,Miscellaneous,Collectable Minifigures,2012,VIP Top 5 Boxed Minifigures,5.0,37.0,True,850458-1
12924,9809,850486,1,Miscellaneous,Collectable Minifigures,2012,Rock Band Minifigure Accessory Set,3.0,62.0,True,850486-1
12925,9817,850487,1,Miscellaneous,Collectable Minifigures,2012,Halloween Accessory Set,3.0,58.0,True,850487-1
12926,22909,850490,1,Miscellaneous,Gear,2013,Chicago Key Chain,,,True,850490-1
12927,10072,850491,1,Miscellaneous,Gear,2012,Orlando Key Chain,,,True,850491-1
12928,9839,850496,1,Miscellaneous,Gear,2012,Anaheim Key Chain,,,True,850496-1
12929,10036,850497,1,Miscellaneous,Gear,2012,Statue of Liberty Minifigure Magnet,,,True,850497-1
